,equity_usd
2022-12-16 00:00:00+00:00,150314.9647097294
2022-12-19 00:00:00+00:00,150274.81638607074
2022-12-20 00:00:00+00:00,150209.37783665227
2022-12-21 00:00:00+00:00,150150.1307976652
2022-12-22 00:00:00+00:00,150108.12516685855
2022-12-23 00:00:00+00:00,150063.65990897335
2022-12-26 00:00:00+00:00,150089.6023742107
2022-12-27 00:00:00+00:00,150121.70005757068
2022-12-28 00:00:00+00:00,150163.83298846087
2022-12-29 00:00:00+00:00,150103.73653979125
2022-12-30 00:00:00+00:00,150058.7635750154
2023-01-02 00:00:00+00:00,149993.60024275476
2023-01-03 00:00:00+00:00,149954.78268097114
2023-01-04 00:00:00+00:00,149912.66172918596
2023-01-05 00:00:00+00:00,149850.71462813785
2023-01-06 00:00:00+00:00,149784.1277521771
2023-01-09 00:00:00+00:00,149782.76550548707
2023-01-10 00:00:00+00:00,149711.59429728476
2023-01-11 00:00:00+00:00,149799.669538048
2023-01-12 00:00:00+00:00,149763.00242404552
2023-01-13 00:00:00+00:00,149844.43597411862
2023-01-16 00:00:00+00:00,150037.83806751767
2023-01-17 00:00:00+00:00,150014.05711758192
2023-01-18 00:00:00+00:00,149944.92859797375
2023-01-19 00:00:00+00:00,149871.4955347343
2023-01-20 00:00:00+00:00,149825.09731767315
2023-01-23 00:00:00+00:00,149880.7614139882
2023-01-24 00:00:00+00:00,149941.68703447614
2023-01-25 00:00:00+00:00,149956.36481801316
2023-01-26 00:00:00+00:00,149899.491476291
2023-01-27 00:00:00+00:00,149825.86656035454
2023-01-30 00:00:00+00:00,149996.99145721685
2023-01-31 00:00:00+00:00,149926.79506165374
2023-02-01 00:00:00+00:00,149940.3682426181
2023-02-02 00:00:00+00:00,149881.50142131187
2023-02-03 00:00:00+00:00,149886.43227005357
2023-02-06 00:00:00+00:00,149845.54226032962
2023-02-07 00:00:00+00:00,149787.1568896117
2023-02-08 00:00:00+00:00,149712.33421074643
2023-02-09 00:00:00+00:00,149680.33777376084
2023-02-10 00:00:00+00:00,149605.9822900443
2023-02-13 00:00:00+00:00,149749.46571748878
2023-02-14 00:00:00+00:00,149722.89879731988
2023-02-15 00:00:00+00:00,149654.0606829303
2023-02-16 00:00:00+00:00,149607.4768859399
2023-02-17 00:00:00+00:00,149593.24843631798
2023-02-20 00:00:00+00:00,149537.78931295726
2023-02-21 00:00:00+00:00,149539.59212383043
